1K,16K,64K,256K,1M
9399229.0,2.6575094E7,3.35803E7,4.6483424E7,4.133192E7
7770852.5,3.7282956E7,3.2729046E7,4.5120196E7,4.9533596E7
8299065.0,3.6409536E7,2.7531066E7,4.3860164E7,5.080528E7
8648043.0,3.0509232E7,3.9834712E7,4.2913944E7,5.1565576E7
9178227.0,2.1076624E7,3.6573624E7,4.59128E7,5.8901712E7
8184712.5,3.6021472E7,3.0110018E7,4.4141828E7,3.95768E7
9345655.0,3.4581052E7,3.8432536E7,4.6137408E7,4.6465644E7
8721217.0,3.2518488E7,3.7673564E7,5.0854472E7,5.1493456E7
9242170.0,3.1122556E7,4.513156E7,2.5609848E7,5.3575332E7
8416013.0,3.61547E7,3.682328E7,4.565836E7,5.8526936E7
7652637.5,4.0792276E7,3.3795784E7,5.0900432E7,5.5222508E7
8817611.0,3.3394416E7,3.5170788E7,4.5985352E7,5.5765588E7
3781720.75,2.7543078E7,3.7139772E7,4.6378692E7,4.191868E7
6398955.5,2667609.75,3.6709108E7,5.0629364E7,4.9085052E7
9118862.0,2.1864332E7,4.570118E7,4.7725608E7,3.7617236E7
8155522.5,2.835466E7,3.4326172E7,5.1488164E7,6.092558E7
9728184.0,3.5066988E7,3.3506638E7,4.5551784E7,4.2975992E7
8383628.0,3.5137504E7,4.2908804E7,5.087702E7,5.7148052E7
7687777.5,3.9160956E7,4.2778012E7,4.7355784E7,5.254432E7
7292126.5,4.3707568E7,3.6725724E7,2.5102212E7,4.5524896E7
5512867.5,2.3413806E7,4.5795412E7,4.3316632E7,3.9754524E7
8235312.5,3.56255E7,4.6611568E7,4.2686992E7,5.4868544E7
8346925.0,4.0382432E7,4.3993788E7,4.9972064E7,5.7859216E7
8435053.0,3.8258448E7,3.4322376E7,4.5058284E7,5.3557444E7
3108807.75,3.5448612E7,3.8689368E7,4.1896744E7,5.1990812E7
8526886.0,3.9046096E7,4.053256E7,4.4976024E7,3.5227984E7
8803196.0,3.8959232E7,4.347874E7,4.5749576E7,5.4810108E7
6642920.5,3.4144268E7,3.6584312E7,5.023534E7,5.2575668E7
8157172.0,3.6281376E7,3.7346084E7,4.5102092E7,5.2128876E7
7792774.5,2.2510738E7,1.0285252E7,4.87161E7,5.6527688E7
9392335.0,3.4476496E7,3.3614828E7,4.5273224E7,3.7629528E7
5858330.0,3.6029852E7,4.5571744E7,4.9924612E7,5.2603708E7
5848914.0,3.8316316E7,3.587582E7,5.0405112E7,5.3925004E7
8077975.0,3.7713396E7,4.7353284E7,6.1673892E7,5.3950428E7
5765802.0,3.194689E7,4.4425004E7,5.4859068E7,5.2166068E7
8252425.0,3.5286368E7,4.398456E7,5.7665224E7,5.1654732E7
9038935.0,4.0589328E7,4.3684928E7,4.8417844E7,5.2854424E7
6622109.0,3.7411028E7,4.6514048E7,4.5915492E7,4.125916E7
8615854.0,3.955924E7,4.0800484E7,5.3882288E7,5.3836876E7
7494106.0,2.5984622E7,3.935044E7,4.6082484E7,5.6529188E7
8086617.5,2.5194462E7,2.8798938E7,5.1694404E7,5.3414364E7
7481222.0,3.7989536E7,3.4387716E7,5.580982E7,5.3516496E7
2940632.5,2.8321958E7,4.2009396E7,4.5997596E7,5.1668516E7
6271491.5,3.0949222E7,3.8345544E7,4.9030488E7,4.2690856E7
8122355.0,3.9480572E7,3.609394E7,3.0257672E7,4.7992836E7
9225714.0,2.7791066E7,4.4052828E7,5.0673184E7,4.3733832E7
6661865.5,2.9514136E7,3.7436552E7,5.0655904E7,5.1917832E7
9166709.0,2.714972E7,4.2644124E7,4.9846904E7,5.4333636E7
8560911.0,3.9090512E7,4.7616916E7,4.8551288E7,5.0264596E7
8129255.0,4.1209244E7,4.3523736E7,4.5940388E7,4.3683128E7
6941557.0,3.2425264E7,3.9389836E7,5.0467168E7,5.0767912E7
7932246.5,2.9688588E7,4.9330616E7,5.1076228E7,5.0639108E7
9024122.0,3.2674126E7,4.0708868E7,4.5089312E7,5.2520984E7
6184659.0,3.9335264E7,3.6027228E7,5.299854E7,5.4883708E7
8762959.0,2.8033968E7,3.7163328E7,5.2985972E7,5.2325624E7
8946168.0,2.3215312E7,4.4908828E7,5.0983436E7,5.6029676E7
8416722.0,3.9041844E7,3.5806608E7,5.639452E7,4.1697972E7
6838322.5,2.6685278E7,4.355066E7,4.779502E7,4.9838772E7
5353717.5,3.8219744E7,4.7352336E7,5.1661768E7,4.1092456E7
8642871.0,3.2582316E7,4.7394068E7,5.0259812E7,5.1063244E7
9192199.0,3.351344E7,4.105702E7,5.1091104E7,5.0171676E7
8957612.0,4.2797328E7,3.4295804E7,4.621942E7,5.2077172E7
8733906.0,4.0096048E7,3.3785472E7,5.1593376E7,4.067658E7
7438644.5,4.3001364E7,3.9450532E7,4.6735904E7,5.3637636E7
7097655.0,2.5642744E7,1.1434173E7,4.4288324E7,5.1605272E7
9347262.0,3.5892756E7,3.0442452E7,4.6905752E7,5.4707188E7
8893901.0,3.960786E7,2.47565E7,2.7431702E7,4.0308204E7
3083879.25,3.5170224E7,2.265105E7,4.8977284E7,4.9409084E7
8647654.0,3.3585636E7,4.4160452E7,4.8026696E7,4.4826612E7
9045631.0,4.0697212E7,4.2974184E7,5.7731772E7,5.4046496E7
1.1005253E7,3.931544E7,4.0660888E7,5.4746744E7,4.1491832E7
8524270.0,3.562768E7,3.7131276E7,5.7104976E7,4.5849288E7
7094588.5,3.7290832E7,4.7196748E7,5.4670804E7,4.8276896E7
8254857.0,3.9334208E7,2.6528626E7,5.6742948E7,5.1876264E7
9419539.0,3.3611948E7,2.1280274E7,5.3414756E7,5.250848E7
8898531.0,3.3731384E7,3.9083788E7,4.9558292E7,5.6001284E7
8733243.0,3.4267972E7,3.7266496E7,5.644844E7,4.2991768E7
9231556.0,3.8100464E7,3.9034212E7,4.986582E7,5.039416E7
6028683.0,3.968614E7,4.5497152E7,5.5943288E7,4.749654E7
8800624.0,3.332916E7,4.4346748E7,4.4193464E7,3.9531756E7
9120376.0,3.7421868E7,4.7770644E7,3.9515976E7,5.3190208E7
7425134.5,3.0523574E7,3.4482568E7,5.039466E7,5.3730364E7
9369595.0,2.5180236E7,4.5186424E7,4.816346E7,5.3820776E7
8409099.0,3.3970724E7,1.8278028E7,3.0683708E7,4.3564092E7
8474892.0,3.89334E7,3.7138884E7,3.9469484E7,5.6105228E7
7696315.5,3.9468828E7,4.3987748E7,5.2135544E7,5.4989968E7
3111892.0,4.010664E7,4.1782204E7,4.4076124E7,5.4938636E7
9208680.0,3.4441836E7,4.858824E7,4.258778E7,5.3074792E7
7674986.0,3.1573604E7,4.6513948E7,4.4817472E7,4.9553324E7
8916160.0,3.8781084E7,4.4580832E7,4.1934148E7,4.01249E7
8561702.0,3.8103364E7,2.9208524E7,4.1951964E7,4.9331632E7
9317433.0,4.1534696E7,3.1015968E7,2.5075016E7,5.4644872E7
8353109.5,4.0053512E7,6932033.0,4.19418E7,4.1086572E7
8108380.0,2.0939504E7,2.8684212E7,3.5054692E7,4.87943E7
8943679.0,3.660714E7,4.4539152E7,4.1903432E7,3.9473624E7
7458245.0,3.5564176E7,4.242822E7,4.7870436E7,5.2271704E7
8251213.0,3.6765652E7,5.1798108E7,4.2692172E7,5.3685452E7
6209510.5,3.84922E7,4.7677388E7,4.1070952E7,5.4065236E7
8723217.0,3.4292584E7,3.8840804E7,4.5397912E7,3.4395756E7
8193464.0,3.881818E7,4.1686452E7,4.0122784E7,5.181386E7
7757675.0,3.7531144E7,4.0739508E7,4.662884E7,5.322442E7
8788265.0,2.148749E7,4.6926812E7,4.5740668E7,5.0764376E7
6707929.5,3.2067142E7,3.0037536E7,5.3298944E7,5.597034E7
8965080.0,4.0863444E7,3.7690732E7,4.7343396E7,5.5328984E7
9095920.0,4.3589784E7,4.5105772E7,5.1887608E7,5.547448E7
8954965.0,3.903096E7,4.7756412E7,5.3234008E7,5.3812468E7
8310935.5,3.8177008E7,3.8940912E7,5.7508592E7,4.0706368E7
8554335.0,3.3955136E7,3.7365144E7,4.9241036E7,4.6136268E7
9500059.0,3.4580576E7,4.2415736E7,5.0356652E7,5.0891136E7
7936766.5,3.6689684E7,4.4746272E7,5.0951532E7,4.9132328E7
8207471.5,2.5803326E7,4.0307084E7,5.6728616E7,3.5890084E7
6948729.5,3.648884E7,3.8402012E7,2.5107108E7,3.9070156E7
8550545.0,4.1355712E7,3.8425884E7,5.1677376E7,4.883154E7
6142860.5,3.8512196E7,4.8737132E7,4.9955856E7,5.147584E7
6536503.0,4.2604472E7,4.2200556E7,4.7887892E7,5.3331244E7
8712220.0,3.4876564E7,4.03753E7,5.4699392E7,4.1168568E7
7551752.0,4.022528E7,4.3997836E7,4.8920428E7,5.5694896E7
8007937.5,3.3770592E7,5.1016724E7,4.9031136E7,5.5397032E7
6794674.0,3.7801072E7,4.2756248E7,5.495888E7,4.6162692E7
6787714.0,1.8194166E7,4.4803904E7,5.71249E7,3.9989428E7
7278041.5,2.8406276E7,3.8021E7,5.2319464E7,4.8656804E7
