1000 B,15.63 KB,62.5 KB,250.0 KB,976.56 KB
1141361.375,1.875659E7,1.9164686E7,4.3221708E7,3696332.25
4194503.0,2.5764242E7,4.636328E7,5.490386E7,2175740.0
9944856.0,3.200977E7,2.4953426E7,3.5665556E7,2209632.0
2050081.875,3.0437952E7,2.1048824E7,5.4682032E7,5.2482E7
6615240.0,3.3669724E7,3.9953048E7,4.1161204E7,2226274.25
6808001.0,3.3976008E7,4.2171616E7,6.0072072E7,2205354.5
9036844.0,2.770657E7,2.2898774E7,6.0781664E7,2212646.0
8562454.0,1.5771998E7,4.4652836E7,6.277824E7,5.794326E7
8707722.0,3.36786E7,2.9074936E7,5.5181556E7,2194345.0
8302810.0,2.957406E7,3.2495086E7,5.2167332E7,2202392.0
8312780.0,3.2434458E7,3.0925212E7,5.5102868E7,2205656.25
5969365.5,3.5619876E7,3.295876E7,2.8966254E7,2164830.75
8684348.0,3.5506848E7,4.2739392E7,5.1558192E7,1132537.875
8793590.0,3.47229E7,8113946.0,5.3005276E7,2199760.0
8864482.0,3.3461298E7,1.323591E7,5.7325624E7,2207678.25
5930841.0,2.4789206E7,5.9100636E7,5.703434E7,2226634.75
8263817.5,2.0262364E7,5.8130664E7,4.8777584E7,2180842.5
4689329.5,3.4349916E7,3.2925762E7,5.332704E7,2193561.5
8249732.5,2.2187624E7,5.642366E7,6.0688272E7,2204575.25
8619486.0,2.8600458E7,2.229103E7,5.571394E7,1975673.25
7794375.5,3.389932E7,3.9078036E7,5.7474888E7,2227908.75
9142979.0,3.4114052E7,5.3707216E7,5.6172856E7,2214127.25
8949086.0,3.3850568E7,4.4186592E7,5.7343884E7,2205328.75
8711207.0,3.3493088E7,4.3983364E7,2.3916066E7,2191738.5
9322353.0,2.4639882E7,2.2974748E7,5.4528936E7,2185770.25
6746418.5,3.411734E7,2.6209708E7,5.548574E7,1131015.0
8031142.0,3.3533068E7,5.170674E7,4.8604816E7,1108427.375
8733525.0,3.3441802E7,1.7289142E7,3.93568E7,2177030.25
9846750.0,2.7E7,8741309.0,3.1748936E7,2189557.25
8967910.0,3.4493768E7,3.3317186E7,5.1867604E7,2222815.25
8715288.0,3.4464788E7,3.0726764E7,2.6348248E7,2217596.75
7928862.0,3.3428354E7,4.7641576E7,4.1383148E7,2180118.25
8556135.0,3.4796444E7,3.3551468E7,2.757024E7,2170896.25
1.0802565E7,3.4570392E7,5.052586E7,4.8827132E7,2213354.0
1.0082693E7,3.355207E7,1.8612116E7,4.2045736E7,2196260.75
1.0511942E7,3.3640516E7,2.4422036E7,4.4658928E7,2221705.0
8241057.5,3.2121242E7,4.7878132E7,5.8201456E7,2179228.75
1.0735805E7,3.4451768E7,5.1693776E7,5.5852244E7,1492462.625
1.0166636E7,3.348371E7,2.7332166E7,3.6397588E7,1990125.5
