1K,16K,64K,256K,1M
8.2316048E7,4.08216384E8,7.09102784E8,1.01028512E9,1.126113664E9
1.11561064E8,5.09563904E8,6.24837056E8,1.04583968E9,1.135642496E9
8.6091864E7,6.84512512E8,7.29858688E8,1.022458496E9,1.141516544E9
8.3400056E7,6.79919424E8,7.40108544E8,1.047614016E9,1.142421504E9
1.01045824E8,6.80784448E8,7.35540864E8,1.05191744E9,1.143827328E9
1.57230224E8,6.49250496E8,7.36934912E8,1.034582528E9,1.141402112E9
1.664032E8,7.3582496E8,7.1048352E8,1.054274112E9,1.135095936E9
1.60869984E8,6.3603872E8,7.83993792E8,1.055692288E9,1.14337152E9
1.58992624E8,6.97928E8,7.4108128E8,1.052325248E9,1.140329728E9
9.4093736E7,4.99890656E8,7.43017088E8,1.034690368E9,1.137812224E9
1.03343152E8,6.8672768E8,7.47002112E8,1.050635712E9,1.142598144E9
1.74907728E8,8.06650816E8,7.32376896E8,1.027528128E9,1.143818752E9
1.64468272E8,6.9564608E8,7.39750976E8,1.03049824E9,1.14265216E9
1.59119104E8,7.37918848E8,7.31035904E8,1.0564272E9,1.142230784E9
1.64087744E8,5.152664E8,7.31282304E8,1.041640448E9,1.138632192E9
1.58752832E8,6.17355392E8,7.29139456E8,1.043494144E9,1.122768256E9
1.36757744E8,7.58347776E8,7.38583104E8,1.047153792E9,1.132792576E9
1.04908672E8,8.00844864E8,7.35202048E8,1.050994112E9,1.138558464E9
9.0185152E7,6.88477056E8,7.35298304E8,1.0414992E9,1.142066816E9
1.16710624E8,7.40648128E8,7.29654016E8,1.052500416E9,1.13893312E9
8.3712832E7,5.11482784E8,7.43803776E8,1.056851584E9,1.123888128E9
8.868472E7,6.07992832E8,7.35796224E8,1.034639808E9,1.133368576E9
8.3195368E7,6.95758016E8,7.83057536E8,1.056068992E9,1.143848704E9
9.14294E7,6.94507712E8,7.3310336E8,1.045529152E9,1.144033664E9
9.1702728E7,6.59309888E8,7.78183552E8,1.054531648E9,1.137340544E9
8.819664E7,6.75142528E8,7.33121024E8,1.056399296E9,1.143494144E9
8.8739016E7,4.7121328E8,7.38714368E8,1.051450432E9,1.123044992E9
6.8675184E7,5.20553728E8,7.368704E8,1.03430336E9,1.128121344E9
7.5688768E7,5.04935744E8,7.37684096E8,1.050470592E9,8.69398656E8
1.32996408E8,7.36746624E8,7.35659264E8,1.026651584E9,1.14332864E9
1.16593608E8,8.46430976E8,7.32711424E8,1.052265088E9,1.144326656E9
