1000 B,15.63 KB,62.5 KB,250.0 KB,976.56 KB
1252278.875,3.01412192E8,6.56424064E8,1.6183552E9,2321676.25
2.6221426E7,3.70403392E8,7.55463552E8,1.601565056E9,2322698.25
2.3812642E7,3.74783168E8,7.85740288E8,1.60259968E9,2322873.75
3.2522598E7,3.68407232E8,7.87965312E8,1.612665984E9,2322861.25
3.3213376E7,3.84482304E8,7.73955904E8,1.593607168E9,2322645.5
3.48779E7,3.81534656E8,7.87507712E8,1.647657984E9,2322704.75
6.6045616E7,3.02644256E8,7.78086144E8,1.601964928E9,2322805.5
6.6609604E7,3.420744E8,7.50037696E8,1.611034112E9,2322659.25
6.3753552E7,3.45870048E8,7.83678464E8,1.590505088E9,2322640.25
5.6207088E7,3.3678928E8,7.8323968E8,1.604953216E9,2322836.75
6.7278456E7,3.47951648E8,7.74527232E8,1.600669312E9,2322816.0
5.5985868E7,3.2656128E8,7.86272704E8,1.601690752E9,2322662.25
6.5765676E7,3.81448704E8,7.58566592E8,1.601884288E9,2322677.25
6.4916512E7,3.78511872E8,7.727616E8,1.622637312E9,2322676.0
1.6894646E7,3.68212224E8,7.8616448E8,1.595922432E9,1162124.375
6.578644E7,3.69705408E8,7.84540608E8,1.614444672E9,2322763.25
6.1612016E7,3.6711392E8,7.7485408E8,1.602593664E9,2322850.75
6.5500536E7,3.77998144E8,7.8387136E8,1.6139776E9,2322834.75
2.6983014E7,3.69503488E8,7.41901248E8,1.602961408E9,2322845.0
5.8994092E7,3.47919872E8,7.73541952E8,1.60963712E9,2322860.25
7.2219632E7,3.6868736E8,7.7572416E8,1.59404224E9,2322642.0
6.0172632E7,3.76596416E8,7.83439104E8,1.613231488E9,2322876.5
8.0846304E7,3.83474656E8,7.75792384E8,1.603824128E9,2322842.5
6.9733056E7,3.53312384E8,7.82924416E8,1.651707136E9,2322899.5
6.7982816E7,3.69766912E8,7.53205632E8,1.613389056E9,2322656.0
6.0549184E7,2.9594416E8,6.55805888E8,1.610288256E9,2322693.75
6.580614E7,3.41815328E8,7.52741888E8,1.603608192E9,2322676.25
5.2816856E7,1.889916E8,6.88097664E8,1.596870144E9,2322658.75
3.710066E7,3.4253504E8,6.45975872E8,1.60928E9,2322769.5
1.2110767E7,3.25738528E8,7.79428416E8,1.600449664E9,2322821.75
6.067722E7,3.2145072E8,7.99960512E8,1.592614272E9,2322802.75
2.6893106E7,3.5297024E8,7.85830464E8,1.619566976E9,2322807.5
5.9604524E7,3.54231904E8,8.09863616E8,1.60328768E9,2322749.75
6.6718932E7,3.61765856E8,8.0264672E8,1.601460736E9,2322839.25
6.050522E7,3.61204E8,8.03008256E8,1.602286848E9,2322829.5
7.4989776E7,3.6220976E8,7.92432768E8,1.612152576E9,2322756.0
7.2358112E7,3.58243168E8,7.6404864E8,1.676315264E9,2322784.25
5.748266E7,3.59962688E8,8.01513856E8,1.603142144E9,2322661.0
6.0108616E7,3.599056E8,8.01111488E8,1.613078912E9,2322774.25
6.1024352E7,3.58534592E8,7.69915968E8,1.603060736E9,2322823.0
6.0482348E7,3.48870048E8,8.00509312E8,1.60611968E9,2322821.75
6.18131E7,3.49001312E8,7.51254784E8,1.616834176E9,2323020.25
6.4532156E7,3.32784928E8,7.51610816E8,1.602973568E9,2322846.25
7.2850992E7,3.5437392E8,8.03000704E8,1.639761152E9,2322871.75
7.5951192E7,3.37472992E8,7.77501504E8,1.606121728E9,2322746.25
6.088836E7,3.55833888E8,8.04901312E8,1.6108192E9,2322742.0
7.0857408E7,3.58462688E8,8.59637952E8,1.62531328E9,2322608.25
6.7647096E7,3.53637664E8,7.8379744E8,1.653971584E9,2322764.5
3.6882336E7,3.5969968E8,7.59658816E8,1.609584128E9,2322707.5
4.2167672E7,3.59186944E8,8.03651072E8,1.59132928E9,2322730.25
5.9915036E7,3.5358528E8,7.99060544E8,1.609076608E9,2322738.5
8.5957912E7,3.45021664E8,8.0413984E8,1.621896704E9,2322772.75
8.8034752E7,3.5275312E8,7.92176256E8,1.597933184E9,2322716.75
6.8936752E7,3.51194496E8,7.53327552E8,1.607568128E9,2322727.25
8.8451736E7,3.54536064E8,7.67792064E8,1.608059904E9,2322825.75
8.3297928E7,3.59351072E8,7.38595904E8,1.598943744E9,2322768.5
7.4270472E7,3.55846176E8,7.79053632E8,1.607156864E9,2322800.25
8.6060376E7,3.53844896E8,8.12111104E8,1.608472064E9,2322862.25
8.5975648E7,3.54928096E8,7.978528E8,1.598203008E9,2322649.5
9.0415912E7,3.53667744E8,8.15300672E8,1.599667584E9,2322729.75
7.2059344E7,3.55135328E8,8.08302272E8,1.611732992E9,2322699.25
6.9765168E7,3.53094112E8,8.07812032E8,1.596796928E9,2322762.25
6.5190108E7,3.45679488E8,8.01793984E8,1.599823488E9,2322668.25
2.143439E7,3.54320928E8,8.0578048E8,1.627258624E9,2322851.0
5.986178E7,3.60038016E8,8.15731328E8,1.61320704E9,2323249.5
7.1973256E7,3.98356288E8,8.42186752E8,1.663218944E9,2322737.25
8.0593496E7,3.90862592E8,8.13112896E8,1.689811968E9,2323519.75
8.7710448E7,3.23728032E8,8.02545088E8,1.593594752E9,2322682.75
7.748064E7,3.24240416E8,8.14732416E8,1.639583104E9,2322919.5
7.7792256E7,3.97840736E8,9.32613568E8,1.63494848E9,2322702.75
7.9085456E7,3.97793728E8,8.22709312E8,1.639797376E9,2322916.75
6.3591588E7,3.98753376E8,7.98006016E8,1.643407104E9,2322789.0
5.9904452E7,3.9099728E8,8.09704832E8,1.639818368E9,2322794.75
6.1034784E7,3.93471808E8,8.01375872E8,1.606473088E9,2322841.25
7.8322336E7,3.92052608E8,8.15554112E8,1.604583552E9,2322742.5
7.6727128E7,3.9081056E8,7.9942336E8,1.586919296E9,2322807.0
7.7101896E7,4.00098016E8,8.00826816E8,1.608429184E9,2322853.75
6.8308344E7,3.9725152E8,8.17830272E8,1.601074688E9,2322782.0
6.2720896E7,3.95257408E8,8.08081344E8,1.598900224E9,2322771.0
6.612204E7,3.94958848E8,8.0215424E8,1.60577728E9,2322856.75
7.6492952E7,3.16437216E8,8.05029888E8,1.60585536E9,2322919.5
7.1213408E7,3.81387328E8,8.0865408E8,1.647435392E9,2322880.75
7.981324E7,3.96302496E8,8.07469568E8,1.624842752E9,2322787.0
8.017928E7,3.24011264E8,8.07675456E8,1.279440512E9,2322941.5
8.752888E7,4.0011152E8,7.66334912E8,1.46181504E9,2322862.5
8.3879248E7,3.95715392E8,7.35946432E8,1.551544192E9,2322805.75
7.0237544E7,3.23825024E8,7.52170432E8,1.645922816E9,2322997.0
9.2140848E7,3.24664448E8,7.68326208E8,1.708060928E9,2322738.5
6.8593224E7,3.88483872E8,8.20257856E8,1.613206016E9,2322684.25
6.6869056E7,3.89149056E8,7.95734336E8,1.707000576E9,2322797.25
6.8236792E7,3.80675488E8,7.75025792E8,1.700711936E9,2322638.5
6.3807044E7,3.51372672E8,7.96740864E8,1.647488256E9,2322734.75
6.5425544E7,3.27450144E8,8.18860864E8,1.628434944E9,2322868.0
6.4385488E7,3.04251648E8,8.01930112E8,1.618603904E9,2322797.0
6.8792824E7,3.73180896E8,8.08607104E8,1.707518208E9,2322825.75
6.8387992E7,4.0250256E8,8.0642464E8,1.703895552E9,2322682.25
7.2542352E7,4.03223776E8,8.21273536E8,1.606225152E9,2322811.0
9.2765232E7,4.003944E8,8.08915264E8,1.621725056E9,2322850.0
9.2341224E7,4.04313536E8,8.16626496E8,1.62599872E9,2322664.0
8.1086232E7,4.05913664E8,8.25716928E8,1.623041024E9,2322758.5
