1000 B,15.63 KB,62.5 KB,250.0 KB,976.56 KB
1571334.0,3.06949152E8,7.44977344E8,1187694.25,2322787.25
3.0321866E7,3.9060688E8,9.17237248E8,1.582910592E9,2322998.0
4.7854448E7,3.92580736E8,8.55102272E8,1189496.0,2322807.25
5.0370984E7,2.2155464E8,9.49829632E8,1188778.625,2322841.5
4.1871312E7,3.93174464E8,9.0997952E8,1189401.375,2322798.0
4.0216688E7,3.9362864E8,9.87163776E8,1189307.875,2322974.25
5.0784104E7,3.85482688E8,9.21067392E8,1189436.625,2322837.5
5.0470004E7,4.29417792E8,9.47177152E8,1.533967488E9,2322625.25
4.1127044E7,3.96121472E8,9.63673984E8,1.527295488E9,2322847.75
5.4465192E7,3.76710784E8,9.17795008E8,1.594900352E9,2323019.25
5.2898436E7,3.7714368E8,9.20730112E8,1.425820416E9,2322832.75
5.0500588E7,3.79338848E8,9.21723392E8,1.737263232E9,2322699.0
5.4357868E7,4.133128E8,9.17913472E8,1.642834816E9,2322958.25
5.1458196E7,3.97631104E8,9.76491712E8,1189449.875,2322740.25
1.1537272E7,3.9680032E8,9.17864064E8,1.549541632E9,2322869.25
4.9598008E7,4.30826144E8,9.8747904E8,1189113.25,2322889.0
4.67995E7,3.86561664E8,9.07476992E8,1.640392064E9,2322882.0
5.7387164E7,4.05460512E8,9.22089216E8,1189170.625,2322965.0
5.6786884E7,4.17367168E8,9.13563328E8,1189393.5,2322768.75
5.1519436E7,3.18619424E8,8.16097472E8,1.529202304E9,2323072.75
4.514642E7,3.96339296E8,1.029426368E9,1189322.5,2322908.25
5.326558E7,3.84551584E8,9.06931776E8,1189359.25,2322819.5
5.3732384E7,3.88254336E8,9.54228352E8,1189061.25,2322787.5
5.5332076E7,3.716768E8,9.2272736E8,1189689.125,2322862.25
5.3697328E7,3.80315808E8,8.39792448E8,1.705158144E9,1161921.875
5.6953932E7,4.10375808E8,7.34447744E8,1.754062592E9,2322876.25
6.188176E7,3.7653216E8,8.86650112E8,1.753156864E9,2323118.0
5.282118E7,2.48660144E8,7.44944448E8,1.746597888E9,2323074.25
2.4115736E7,3.18562016E8,9.54024256E8,1.76507904E9,2322882.75
7433510.0,4.02500032E8,9.73161984E8,1.70162816E9,2323000.75
3.6673024E7,3.8588016E8,9.45571328E8,1.711685248E9,2322866.0
4.8927032E7,4.09930048E8,9.39029824E8,1.759026304E9,2322903.0
6.183068E7,4.1039056E8,9.04236992E8,1.620165504E9,2322952.5
5.1296652E7,4.204264E8,9.72028416E8,1.800245888E9,2322727.5
6.3310372E7,4.08745088E8,9.52999296E8,1.73827136E9,2322917.75
5.7845932E7,3.96250976E8,9.17271488E8,1.765369344E9,2322709.5
5.9859808E7,4.26461984E8,9.4124704E8,1.750318464E9,2322935.0
6.527436E7,4.20948512E8,9.5165728E8,1.722744448E9,2322806.5
5.7729056E7,4.08666272E8,9.41113536E8,1.782806784E9,2322976.0
5.8659628E7,4.0372944E8,9.42711808E8,1.7435936E9,2322713.0
6.4118592E7,4.12049344E8,9.45971648E8,1.814094976E9,2322968.25
5.9277352E7,4.11889696E8,9.5492096E8,1.754363776E9,2322977.25
4.97687E7,3.95990592E8,9.25457984E8,1.757551232E9,2322957.0
6.013374E7,4.02079232E8,1.001145792E9,1.762269824E9,2322895.25
6.0151096E7,3.95839232E8,8.16895424E8,1.750427904E9,2322942.0
6.7196176E7,4.19310272E8,8.8976128E8,1.75893696E9,2322753.25
6.412476E7,4.18719936E8,9.29123136E8,1.72024576E9,2322914.5
6.701088E7,4.75889504E8,9.20620864E8,1188144.625,2322782.0
4.855724E7,4.33469824E8,9.16908032E8,1.61743488E9,2322961.0
5.9386656E7,4.13903008E8,9.18353984E8,1.7059712E9,2322751.75
5.0516912E7,4.21515744E8,8.95342784E8,1.708084352E9,2322864.25
6.7748152E7,4.09358464E8,8.869456E8,1.708304256E9,2322745.0
6.1432232E7,4.0589872E8,9.17260288E8,1.711515904E9,2322894.0
6.586444E7,4.09222336E8,9.19281344E8,1.7188032E9,2322848.75
7.0313592E7,4.07810592E8,9.59228352E8,1.603788416E9,2322876.5
6.5999192E7,4.09454848E8,4.976072E8,1.75329664E9,2322737.25
5.2928532E7,4.09436992E8,8.34657024E8,1.714036992E9,2322887.25
6.3241904E7,4.14184256E8,8.71020288E8,1.720399488E9,2322722.75
6.4750696E7,4.09987296E8,8.98105728E8,1.713623424E9,2322995.75
6.963352E7,3.99057696E8,9.26323904E8,1.712129408E9,2322988.0
6.2135532E7,4.1573184E8,8.08995456E8,1.703876224E9,2322908.0
6.4941176E7,4.29322752E8,9.3085696E8,1.709224832E9,2322865.25
5.6961232E7,4.18305024E8,9.33226944E8,1.705453952E9,2322899.25
3.738674E7,3.78346304E8,9.25510144E8,1.709132928E9,2322779.75
6.889852E7,4.04858304E8,8.9848768E8,1.702574336E9,2322935.75
6.9716536E7,4.10931264E8,8.6184608E8,1.704749312E9,2322609.0
7.4175448E7,4.08378368E8,9.33877056E8,1.71821312E9,2322931.25
7.5541536E7,4.06544864E8,8.83633088E8,1.683631744E9,1162100.5
6.5690072E7,3.91092864E8,9.34174208E8,1.647881728E9,1161904.375
