1K,16K,64K,256K,1M
3.8277656E7,2.76169664E8,8.00670528E8,1.003861312E9,1.145328E9
4.7944384E7,3.83033536E8,7.45343936E8,1.02901088E9,1.12196288E9
1.32750992E8,4.51949312E8,7.9070816E8,1.040292608E9,1.13443392E9
8.4314184E7,5.23034752E8,7.367856E8,1.028129728E9,1.137227008E9
1.15989088E8,5.16149024E8,7.57304128E8,1.054203328E9,1.126944512E9
1.1597968E8,4.57159808E8,8.26826368E8,1.039285824E9,1.1453056E9
1.1474996E8,3.6660752E8,7.19137472E8,1.049972992E9,1.138544384E9
1.07346808E8,3.70186976E8,7.59994816E8,9.87380032E8,1.124075776E9
8.3991264E7,5.20462304E8,8.180032E8,1.012420672E9,1.146546176E9
1.16560984E8,5.24004288E8,8.71922688E8,1.01191168E9,1.14265344E9
1.16179096E8,4.60578784E8,8.61353088E8,1.00922496E9,1.141539968E9
1.11629568E8,3.6676048E8,8.63851584E8,1.06072352E9,1.12845568E9
1.13732E8,3.6961232E8,8.5910304E8,9.93106496E8,1.129181056E9
1.14281792E8,5.1829248E8,8.70764864E8,1.063609664E9,1.14430464E9
1.14669696E8,4.58686656E8,8.72620544E8,1.060019456E9,1.130290816E9
1.08022856E8,3.67260544E8,7.3951936E8,1.045465024E9,1.14619584E9
1.04197056E8,5.2359616E8,7.7994752E8,1.074034944E9,1.137912704E9
1.00723192E8,4.71023232E8,6.91779712E8,1.045066048E9,1.14104832E9
1.05822344E8,3.95914176E8,7.90313728E8,1.069843648E9,1.141168896E9
1.12029752E8,5.20982592E8,6.861424E8,1.045101824E9,1.14079936E9
8.5382512E7,4.56840032E8,9.2043424E8,1.055996736E9,1.124079872E9
1.05576552E8,3.70409824E8,7.62753728E8,1.06096E9,1.129901568E9
1.0495492E8,5.21364512E8,7.01376E8,1.042018496E9,1.138750848E9
1.05319696E8,4.56531072E8,8.00795776E8,1.057946496E9,1.13183424E9
1.06787408E8,3.68383488E8,8.58224064E8,1.05869248E9,1.14491392E9
1.0799136E8,3.69426272E8,8.65422656E8,1.048187136E9,1.144689664E9
8.9864208E7,5.19278208E8,8.78325824E8,1.040104128E9,1.130941696E9
1.06099672E8,5.17091456E8,8.48705088E8,1.064822784E9,1.148025856E9
1.07107672E8,4.49061056E8,8.83198336E8,1.042241728E9,1.146201344E9
1.07619456E8,3.67605664E8,8.5524224E8,1.062777344E9,1.141219456E9
1.1101736E8,5.28850432E8,8.63969408E8,1.042244736E9,1.138526848E9
1.06230408E8,5.18909376E8,8.66158208E8,1.05729152E9,1.13928576E9
1.00215464E8,4.58354208E8,8.58947392E8,1.043530752E9,1.142452352E9
8.3257016E7,3.65179264E8,8.75520192E8,1.05995712E9,1.122900608E9
1.09535016E8,3.72929056E8,8.76262144E8,1.04446272E9,1.147390976E9
1.09550624E8,5.17720608E8,8.6346816E8,1.055624384E9,1.124809088E9
1.13856312E8,4.61254592E8,8.54392768E8,1.060726976E9,1.148319104E9
1.08509304E8,3.66334752E8,8.78296832E8,1.046151232E9,1.14426624E9
1.07208712E8,3.69331648E8,7.55687424E8,1.053068928E9,1.135538304E9
1.071662E8,5.2337696E8,9.07685568E8,1.061789504E9,1.145012352E9
1.07647264E8,4.63296768E8,8.7530944E8,1.0452256E9,1.143222528E9
1.10003736E8,3.66780672E8,8.53376576E8,1.073664704E9,1.140962816E9
1.4342264E8,3.6988832E8,9.14216512E8,1.025753984E9,1.139008896E9
1.50057776E8,5.22868992E8,8.46455552E8,1.071499072E9,1.12313728E9
1.10561984E8,4.57532384E8,8.49280576E8,1.041844736E9,1.12904384E9
1.08768952E8,3.66960672E8,8.6803552E8,1.062820544E9,1.127333888E9
1.03947944E8,3.6805216E8,8.72751488E8,1.046031424E9,1.15045696E9
1.07795784E8,3.66316288E8,8.58122752E8,1.055487232E9,1.141012992E9
1.09853896E8,5.24268736E8,8.50995904E8,1.059130496E9,1.139294848E9
1.1206868E8,5.23210976E8,8.61550208E8,1.045897344E9,1.142697216E9
1.09269312E8,5.5719232E8,8.6229664E8,1.053667456E9,1.139492352E9
1.06925568E8,4.59931328E8,8.69405696E8,1.058864576E9,1.140163968E9
1.0907504E8,3.69878912E8,8.67758912E8,9.71076672E8,1.139261824E9
